?series	?series_label	?start_time	?end_time	?cast_member	?cast_label
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q272166>	"Tracy Middendorf"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q272020>	"Jennifer Lien"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q269599>	"Diana Muldaur"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q234474>	"Denise Crosby"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q236809>	"Jeri Ryan"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253578>	"Rosalind Chao"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253578>	"Rosalind Chao"@en
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q552103>	"Connor Trinneer"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q692800>	"Ray Walston"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q272214>	"Grace Lee Whitney"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q274883>	"Cecily Adams"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q232917>	"Majel Barrett"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q232917>	"Majel Barrett"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q232917>	"Majel Barrett"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253764>	"Gates McFadden"@en
