series	series_label	start_time	end_time	cast_member	cast_label
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q464425	Ed Begley, Jr.
http://www.wikidata.org/entity/Q380519	Star Trek: Enterprise	2001-09-26T00:00:00Z	2005-05-13T00:00:00Z	http://www.wikidata.org/entity/Q453724	John Billingsley
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q230038	Kate Mulgrew
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q231576	Nana Visitor
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q1384181	Michael McKean
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q253561	Adrienne Barbeau
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q272166	Tracy Middendorf
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q272020	Jennifer Lien
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q269599	Diana Muldaur
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q234474	Denise Crosby
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q236809	Jeri Ryan
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q253578	Rosalind Chao
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q253578	Rosalind Chao
http://www.wikidata.org/entity/Q380519	Star Trek: Enterprise	2001-09-26T00:00:00Z	2005-05-13T00:00:00Z	http://www.wikidata.org/entity/Q552103	Connor Trinneer
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q692800	Ray Walston
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q272214	Grace Lee Whitney
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q274883	Cecily Adams
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q232917	Majel Barrett
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q232917	Majel Barrett
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q232917	Majel Barrett
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q253764	Gates McFadden
http://www.wikidata.org/entity/Q380519	Star Trek: Enterprise	2001-09-26T00:00:00Z	2005-05-13T00:00:00Z	http://www.wikidata.org/entity/Q550115	Anthony Montgomery
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q550778	John de Lancie
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q281621	John Glover
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q277099	Raphael Sbarge
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q253977	Roxann Dawson
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q2642039	Alexander Enberg
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q2571025	Gary Graham
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q1964497	Nancy Hower
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q1891371	Manu Intiraymi
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q313671	Colm Meaney
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q312570	LeVar Burton
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q313671	Colm Meaney
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q254038	Nichelle Nichols
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q258612	Terry Farrell
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q239075	Michelle Forbes
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q238168	Nicole de Boer
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q297552	Tom Morello
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q329734	Brad Dourif
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q339902	James Sloyan
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q313789	Robert Picardo
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q266814	Sharon Lawrence
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q264699	Wil Wheaton
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q311068	Wallace Shawn
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q311165	Alexander Siddig
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q316641	Joel Grey
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q346595	Jonathan Frakes
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q348445	René Auberjonois
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q6288759	Josh Clark
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q316955	Michael Dorn
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q316955	Michael Dorn
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q432742	Melanie Smith
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q442309	Andrea Martin
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q311453	Brent Spiner
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q311754	Jason Alexander
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q355344	Dwight Schultz
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q353101	Armin Shimerman
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q239328	Penny Johnson Jerald
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q249865	John Savage
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q317228	Kurtwood Smith
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q318412	James Doohan
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q452288	Jeffrey Combs
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q322750	Aron Eisenberg
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q324114	Scott Thompson
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q926194	Marc Alaimo
